Params: 2 3 1 3
RBA: 1
ratio training: 0.95
mutation rate: 0.8
Treshold	0.99
Coverage	0.6585495911837895
Accuracy	0.9991902834008097
Avg gain	38.16494845360825

Treshold	0.90
Coverage	0.7454674724493423
Accuracy	0.966142107773009
Avg gain	41.77319587628866
Coverage	0.7307145396373977
Accuracy	0.9693505229871078
Avg gain	41.08247422680412

Treshold	0.85
Coverage	0.7826164237468894
Accuracy	0.9545832387008858
Avg gain	42.876288659793815

Treshold	0.80
Coverage	0.7968361180234625
Accuracy	0.9460182913227749
Avg gain	43.72164948453608

Treshold	0.75
Coverage	0.8576253110558123
Accuracy	0.92
Avg gain	45.76288659793814

Treshold	0.70
Coverage	0.9057945254177036
Accuracy	0.9187598116169545
Avg gain	48.2680412371134

Treshold	0.65
Coverage	0.9225026661926768
Accuracy	0.9071290944123314
Avg gain	48.5360824742268

Treshold	0.60
Coverage	0.9297902595094205
Accuracy	0.8992544446568533
Avg gain	48.79484536082474

Treshold	0.55
Coverage	0.9701386420191966
Accuracy	0.8853059728838403
Avg gain	49.81443298969072
